"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0x94b2999ee835c0ac627a6f5582087b4ea80717a2c6ecacf60d6ec0b87ed96c02","9393158","1580515262","2/1/2020 12:01:02 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xb699bd6a66c25fa37feed9c527c1ff27e38675f2","404.62"
"0x57580b0c40964ced9fcaacb47c274a89b73f50a67d714fde6043d7165c254027","9393882","1580524962","2/1/2020 2:42:42 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x7ba1299e0b37753e000cccb9537a03a2afefd26b","444.11"
"0xa56b5535555064d68d7d458d694e004f5514884988e18402061570f87b108f37","9394035","1580526772","2/1/2020 3:12:52 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x7a4861f26c9d398072783093438aeff2d42d4737","5922"
"0x72ec05b1aa90ac1ee7b6499724cebcc06eb91e7880ae2e851eb9e2fd0b131caa","9394113","1580527855","2/1/2020 3:30:55 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x64a1195a5b2ec91046e702c963eec3bf6b33b3cd","97.54"
"0x37defa2fb8b9f8da597b850df86a4f4cd3629506d9501088fc5923f42057aba8","9394262","1580529896","2/1/2020 4:04:56 AM","0xf06f6a33d223b0a0f168ae0956988a2128ff2763","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","2059.695323"
"0xad0559c4842fecb036e02827d9e7bdfaf001c4e23a05902f6df8014372527ec8","9394289","1580530195","2/1/2020 4:09:55 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xf2d414d8234a05c5a0bfb487553924255eddd2c5","300"
"0xc6c123988e77b49c3854ad8d0f5aa5fa4caf9ea7992ce4e5984a11f7c028e08c","9394545","1580533400","2/1/2020 5:03:20 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xa3b90f0eb3a960a64803955866e7f486120611b4","477.79"
"0x040e89e431209158b5c9005ce6f6fce2c19bf60963e0e1960abcd0ec4dc872ab","9394812","1580536884","2/1/2020 6:01:24 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xc9e89f59d93e61fea7c4f477b149e1078853a66c","100"
"0x4b7fa2131b5c40a473639a638a61ab4e0b7270429360081c34d2bf568898ec65","9394887","1580538037","2/1/2020 6:20:37 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x3a8175ace90b3e1a34fa93523bc5bc2caae60d66","100"
"0xfe73d65f793c911f7172cf647e2fb9ede8d1dc15bc823a570a821c36bbdc6eca","9394887","1580538037","2/1/2020 6:20:37 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x240a616ad67bd566dbe2db552e48e803de6eade3","100"
"0xd42066a0e1eac6fc5607261477c5215a402e7d25fd8719df4e2509a162da437f","9395107","1580541047","2/1/2020 7:10:47 AM","0x3c1ed8bdde9167bc3555e7fc180885f1b7020e5c","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","2000"
"0xd7a9dabbb4cd86fc97ff688fd1e4d9f92b3ad5668496340dad36499acb66a9bf","9395421","1580545354","2/1/2020 8:22:34 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x0049d34194503ada98715896348e6223c6895b24","798"
"0x70cd7e8cce1b860b27dab37a7e607632f5c4a6093e69ac69b6f760a1fed2a909","9395545","1580546813","2/1/2020 8:46:53 AM","0x443e27f48acb5a6ebf7b0f9696b2c0ecad2302ef","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","2148"
"0x39469a0657b91d56c9b7a5e3428902cc52412ba4ce6466b29b7ea3b308196ef0","9395761","1580549751","2/1/2020 9:35:51 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xa3b90f0eb3a960a64803955866e7f486120611b4","738.1"
"0x769233c69b611dfddb4d3d7d872319db8935f4c7a5a62af0ba1d9ad3714cf46f","9396149","1580554802","2/1/2020 11:00:02 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x88ece27519df392126825d486db7f63082919b8f","212.78"
"0x350c251e4c05e5403913cba1c98fb793752e07b48963dd73c11157aa123ec9eb","9396189","1580555277","2/1/2020 11:07:57 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xcdf71a4e0e8a634cd3e1c1d66be7df1bd3fa3091","447.52"
"0xb556e148045f5dee2eac745f97ce98bc427b26ea2b4d7743fa3a4d463eda4abf","9396206","1580555517","2/1/2020 11:11:57 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xf946f06507d9674a1d0b062f68194de319b5aebd","233.77"
"0x0fb547b3ca091b23412832fae62ae520a633e710dafd8b7bea7273f73f473a93","9396277","1580556615","2/1/2020 11:30:15 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x1889a75895fc8aae93ba63b89f5ecd45c60e12bd","1248"
"0x10cdc3795debc5602ef6b0fc589b512543cec1938101be7243d0637b0f4436e3","9396343","1580557597","2/1/2020 11:46:37 AM","0x7e7bb69758bc6511906ffe4d0782d1ca312ffb00","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","453.9565"
"0xaff1761453c03fc70eed2242c33f579d3668c3e963c314f851e187c830c3aee8","9396357","1580557856","2/1/2020 11:50:56 AM","0x276ceed40763ee2b242517aeb16aa746d1065913","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","34.11"
"0xeaeb2c67d170e932a86d1e8767d08bc2c6e6321b4517369f003778e26e29acd7","9396838","1580564527","2/1/2020 1:42:07 PM","0xc719002bfd3e7ba7d9fb877e585471f05f70398a","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","1276.712"
"0x8b493727a87a8ce31bb2f83ed707b327b75320d73b98a003943b25b975cd43a3","9396949","1580566055","2/1/2020 2:07:35 PM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xb7fbaff6bba1f854ef772dda2cc11ac2a63be4bd","100"
"0xb93290c9f9413dffebe2cf6f6ca9d576418290561470f2692603facaedc73901","9396951","1580566114","2/1/2020 2:08:34 PM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x554c531ef18f2208b7719d68717cfb0aef42b1c8","211.92"
"0x915e2d7a89012050571105b2e17532246a3d11519f74142827cae7cc9c9a0130","9396966","1580566249","2/1/2020 2:10:49 PM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xa3b90f0eb3a960a64803955866e7f486120611b4","498.57"
"0xe703f205b6cf619bf803c71504e8ed7ab4ad6ae4ab4172fb5bf10a5b146181b3","9396969","1580566284","2/1/2020 2:11:24 PM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xe37d74959f8af74388af6b5abf90aa0cb89e2aba","5923.58"
"0x2c386516b168df3dba45d95f6322779a120918d9fe6d0f051f21223626fbabce","9396993","1580566581","2/1/2020 2:16:21 PM","0xe37d74959f8af74388af6b5abf90aa0cb89e2aba","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","10891.57"
"0xe8fa85d5394ca3fc1f21d27ac7272b65be075d68e7f72f65c87c4bedd4411474","9397079","1580567726","2/1/2020 2:35:26 PM","0xe852a2eb5a99a741a55118c746cf61918943dcd9","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","100"
"0x24e8041bcba9b81d8c898adba9ade7ab5cd5160063165ba83897ae03e2c76571","9397181","1580568887","2/1/2020 2:54:47 PM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x554c531ef18f2208b7719d68717cfb0aef42b1c8","116.82"
"0xb13f2bd7051fdc6157e35cc447d6b41da088f4434b0ca9990f91e0954e5a4da3","9397224","1580569654","2/1/2020 3:07:34 PM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xe44d4d4ba87321853849225620604a0b2eb1c7b1","495.5"
"0x745f1dbeb82ac028e4996736f86bd54ba094a84ee3eab44aadab1fbf869b021d","9397420","1580572060","2/1/2020 3:47:40 PM","0x2c00b076d219c5af77d57209c92747d85a593671","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","599.357501"
"0x6638fe965ddcdeb55912531585d6cb82bec68d83edf27ddd13d2b51a76bb009e","9397480","1580572804","2/1/2020 4:00:04 PM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xb699bd6a66c25fa37feed9c527c1ff27e38675f2","506.54"
"0xf6d8091529ac04ae2aba8f9b8b825882d808c5f3801a7abdc88613aff82074b6","9397751","1580576433","2/1/2020 5:00:33 PM","0x2a6d9f86708a50fcfb8e8c5c66cfa7d87bf2935c","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","880"
"0xbeae01f0b2ad74c66079c5e9305dec7f37d32dc376e7806590d8b2cfa74766ce","9399021","1580593197","2/1/2020 9:39:57 PM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x43306e47dfe34f92650f87fd4392c12ab7861438","405.54"
"0x0a55e923a4dc8c03918e9c3408f39c00d01595d8948a9698ea22b88872f93daf","9399041","1580593550","2/1/2020 9:45:50 PM","0x11d6dba495cd7cfbf3d1bf4acf83273f08ff3828","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","684.18"
"0x5115b33437d2982ee03edf53563c1e2056c52bc019a49a58b67d4787246967dc","9399354","1580597596","2/1/2020 10:53:16 PM","0x85d8cf8c76e6b8728ea2d2bc544c4cbbd74d5cde","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","1000"
"0x7af8c6dfe545811691058513bc7aacf9a9837bdbc133fb06ab3745b58a5a03db","9399938","1580605290","2/2/2020 1:01:30 AM","0x8485484347f2f51b627e509065362c1cc566913a","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","16165.16"
"0xaf0f42c7e7849b59bc2575cfb7ec95e38c8f58835d842cd1aea75011e92d12e1","9400130","1580607639","2/2/2020 1:40:39 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x8cb103cc8baad98bba1e6aaaf24eb62ab0a827f1","499.73"
"0xbe4bb68cc52d67058fc5d4f5867b23c3370fdb3b10dbd5c6fdde105cdbd58be4","9400169","1580608271","2/2/2020 1:51:11 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x495e10d36ae5b9fe33cad053b15ab7341520df4f","1133"
"0x0edd49ec891a8eaa20d2042dc604a4e3194e1970b4ee3507a5af3c23c82c5076","9400241","1580609157","2/2/2020 2:05:57 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xcea574d5a6f0c9fb250f84486cfe242a22bed9eb","1812.68"
"0xcf13b083b85e3da1be7a97dc93ede19fc7c208b1c80da4e667f079da954223ca","9400354","1580610475","2/2/2020 2:27:55 AM","0xbf1a40d0dd28773e63f46609d729584d6cb694d5","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","1298"
"0xa098f8f342f2a8d5f74fd1927a00ffa0519c7432a3b5e0c0e7d2e6349cb230cc","9400455","1580611851","2/2/2020 2:50:51 AM","0x23cefa6a28ade21c6a5008269e6c505b85e308ea","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","28529.79"
"0x9ebd690ac48ce44fb1a7edb2c24fc5ddf19ea5e257d1c5340f78c04061eb1060","9400456","1580611888","2/2/2020 2:51:28 AM","0xae98f0ba84eb1adb742bbd14bfa276ad5883cc89","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","79.706518"
"0xc6b1db6a9de1121da6653fb7680223a5c6ee9bebf0cfa2d557e166d67fa5dfb5","9400456","1580611888","2/2/2020 2:51:28 AM","0x7126ef797b5619931d3f226de5970ac1a0681e1d","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","764.813593"
"0x5de85450dec78a14502aacf5afa5e3ad2571cca766c199cecc052a405b9bc468","9400568","1580613585","2/2/2020 3:19:45 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x9d1ab8b4b7c072729bb61ca1ded379b51a12c047","30000"
"0x378f3a0803382b59ac630f91d0cec5cc34a285692c299d7ece6ba0e9974c9ab7","9400757","1580616191","2/2/2020 4:03:11 AM","0x7264fdbb52c0ce1bbe45fe6e72f1623642a42457","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","1727.450378"
"0xd2c1c3e3662cbddfe5c27a4ff4df32a3d2b8182743139ed05ae5652d80a0d7c1","9400894","1580617951","2/2/2020 4:32:31 AM","0x2a6d9f86708a50fcfb8e8c5c66cfa7d87bf2935c","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","880"
"0xab91a368bb27381dac7ef8c8d876d25be616e7b5ca1ea4501a92cfd951588a9a","9400912","1580618219","2/2/2020 4:36:59 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x12322f2e96f1ebd83e110889ade8cca934418a85","15093.64"
"0x85106f126013be055d886128432c5b4c847f81988cf91d3d141b8253e1983d00","9401135","1580620821","2/2/2020 5:20:21 AM","0xc613fc5260d2986cad05a9e86dcc6f7d26b0c9cf","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","300.394"
"0x54832dc597f8cbe5faef45fb468e22f22200d21d271c817bbd37bc4dde671eba","9401139","1580620919","2/2/2020 5:21:59 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xc9e89f59d93e61fea7c4f477b149e1078853a66c","100"
"0x4d1968452d944039bb8eb6d61cd269bdfdf6f1a11bd05bb9c716552b872e1645","9401172","1580621436","2/2/2020 5:30:36 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x3a8175ace90b3e1a34fa93523bc5bc2caae60d66","100"
"0x94337b88afb364680a44362dd393636654ec4a086da09564108426695f6b5c3f","9401176","1580621516","2/2/2020 5:31:56 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xc9e89f59d93e61fea7c4f477b149e1078853a66c","100"
"0x7f92e6ccb970fe268e457e4d630f98c4dbf40ebf5d02c36458923f9b86203f2d","9401358","1580623865","2/2/2020 6:11:05 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0x712cba9e1a744c6d74e3cd229f0c83797b017810","558.7"
"0xbaf04a0d96b1f2b7aae8c56874571f97e21bb5fd179a57f01d26917101fb74f8","9401397","1580624360","2/2/2020 6:19:20 AM","0x6efb20f61b80f6a7ebe7a107bace58288a51fb34","0xc73ec9392b98276ead4bb1f2ef7785e553929cdf","280.69"
